Designator,Mid X,Mid Y,Layer,Rotation
C1,142.390000,-69.059800,top,0
C2,89.890600,-80.573800,top,0
C3,89.906600,-83.748800,top,180
C4,136.898000,-89.183400,top,180
C5,91.126800,-132.014200,top,-90
C6,96.130600,-74.719800,top,90
C7,136.935500,-92.231400,top,0
C8,136.935500,-95.127000,top,0
C9,93.768400,-132.018100,top,-90
C10,125.526800,-137.240100,top,-90
C11,125.360000,-101.720000,top,90
C12,122.946000,-101.724000,top,-90
C13,134.290000,-101.750000,top,90
C14,132.070000,-101.740000,top,90
C15,113.411200,-68.003700,top,-90
C16,167.847100,-125.399800,top,180
C17,103.124000,-98.806000,top,90
CARD1,125.320000,-147.040000,top,0
D1,88.594600,-132.410200,top,90
D2,89.839800,-94.488000,top,-90
D3,108.458000,-93.423000,top,-90
H1,129.540000,-124.663200,top,90
H2,121.920000,-124.663200,top,90
H3,137.160000,-125.882400,top,90
H4,114.300000,-125.882400,top,-90
H5,137.160000,-148.818600,top,-90
H6,114.300000,-148.818600,top,-90
H7,114.300000,-136.042400,top,90
H8,137.160000,-136.042400,top,-90
J1,166.267000,-133.924500,top,180
J2,155.075001,-133.924500,top,180
LED1,111.346000,-85.486000,top,-90
L_B-B1,129.126000,-96.234000,top,180
Q1,102.331200,-108.247550,top,-90
Q2,102.674600,-114.207750,top,0
Q3,97.035600,-78.794800,top,90
Q4,102.651000,-82.499200,top,180
Q5,104.882925,-94.147600,top,0
Q7,132.125700,-113.675200,top,0
Q8,125.749500,-114.925400,top,90
Q9,165.608000,-121.158000,top,90
Q10,170.500000,-115.316000,top,90
R1,93.335800,-138.644700,top,180
R2,105.308600,-62.996000,top,90
R3,96.410000,-131.983300,top,90
R4,99.051600,-132.002100,top,-90
R5,104.385600,-132.002100,top,90
R6,101.693200,-132.002100,top,-90
R7,107.027200,-132.002100,top,90
R8,106.159300,-114.293350,top,90
R9,108.648500,-114.309350,top,90
R10,110.150000,-81.405000,top,90
R11,113.400000,-81.405000,top,-90
R12,111.760000,-81.405000,top,-90
R13,94.525600,-83.974800,top,-90
R14,105.156000,-73.424000,top,-90
R15,110.286000,-67.904000,top,90
R16,102.646000,-69.314000,top,-90
R17,136.490000,-101.740000,top,90
R18,127.660400,-137.908200,top,90
R19,123.190000,-137.806600,top,90
R20,120.954800,-138.709400,top,90
R21,132.283200,-135.774600,top,90
R22,130.200400,-135.927000,top,90
R23,118.237000,-138.328400,top,90
R24,136.376900,-114.630200,top,0
R25,125.708900,-111.125000,top,180
R26,171.384000,-110.760000,top,90
R27,124.951100,-118.541800,top,0
R28,167.546900,-128.574800,top,180
R29,165.608000,-117.856000,top,180
SW1,142.240000,-76.019800,top,90
SW2,89.979600,-76.019800,top,90
SW3,94.488000,-94.282000,top,90
TP2,119.227600,-89.357200,top,180
TP3,104.970400,-138.926200,top,-90
U1,97.002600,-120.158550,top,90
U2,92.329000,-108.696000,top,90
U3,104.622600,-120.568050,top,0
U4,160.623600,-96.753500,top,-90
U5,129.120000,-102.632950,top,-90
U6,126.297200,-71.983600,top,0
U7,92.304600,-120.543800,top,-90
