Comment,Designator,Footprint,JLCPCB Part #
104,"C1, C2, C5, C7, C8, C9, C10, C16, C19",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
10uF ±10% 16V,C3,CL21A106KOQNNNE,C1713
22uF ±20% 25V,C4,CL21A226MAQNNNE,C45783
1uF ±10% 50V,C6,CL10A105KB8NNNC,C15849
10uF ±10% 25V,C11,CL21A106KAYNNNE,C15850
22nF,C12,0402B223K500NT,C1532
2.2uF ±10% 25V,C13,GRM155R61E225KE11D,C385032
22uF ±20% 6.3V,C14,CM05X5R226M06AH080,C919306
10uF ±10% 10V,"C15, C17",CL10A106KP8NNNC,C19702
4.7uF,C18,CL10A475KP8NNNC,C1705
micro SD Card slot TF PUSH,CARD1,TF PUSH,C393941
BAT760-7,"D1, D2, D3",Diode_SMD:D_SOD-323F,C124187
Header-Female-2.54_1x3,"H1, H2",2.54-1*3P,C146243
Header-Female-2.54_1x4,"H3, H4",2.54-1*4P,C2718488
Header-Female-2.54_1x6,"H5, H6",2.54-1*6P,C40877
Header-Female-2.54_1x2,"H7, H8",2.54-1*2P,C49661
2.2uH ±20% 3.2A,L_B-B1,SWPA4018S2R2MT,C50543
47uH±20% - 680mA,L_B-CH1,LPS4018-473MRC,C5189599
RED,LED1,XL-1608SURC-06,C965799
EMERALD,LED2,NCD0603G1,C84267
2N3904S-RTK/PS,"Q1, Q2",2N3904S-RTK/PS,C18536
N-MOSFET-ENH-2N7002,Q3,2N7002,C8545
P-MOSFET-ENH-BSS84LT1G,Q4,BSS84LT1G,C82079
PMOSFET-DMP1045U-7,Q5,DMP1045U-7,C177033
10K,"R1, R2, R7, R8, R9, R16, R17, R18",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
22K1,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C2930182
47K5,R4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C245335
1KΩ,"R5, R6",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
10kΩ ±1% 62.5mW,R10,0402WGF1002TCE,C25744
3kΩ ±1% 62.5mW,R11,FRC0402F3001TS,C2909355
604Ω,"R12, R13",RTT066040FTP,C159502
1.78MΩ ±1% 62.5mW,R14,RC0402FR-071M78L,C477227
887kΩ,R15,RC0402FR-07887KL,C137930
100Ω,R19,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
220Ω,R20,0603WAJ0221T5E,C1226
7.5kΩ,"R21, R22, R23, , R24, R25, R26",0603WAF7501T5E,C23234
Button switch,"SW1, SW2",1TS005F-2500-5001,C255812
TestPoint,"TP1, TP2, TP3, TP4, TP5",TestPoint:TestPoint_Pad_D1.0mm,
USBLC6-2SC6,U1,Package_TO_SOT_SMD:SOT-23-6,C2827654
Screw_Terminal_KF301_1x02,U2,KF301-5.0-2P,C474881
CP2102N-Axx-xQFN28,U3,Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C964632
TPS63001DRCR,U5,TPS63001DRCR,C28060
LTC4121EUD#TRPBF,U7,LTC4121EUD#TRPBF,C687336
ESP32-WROVER-E-N4R8,U9,ESP32-WROVER-E-N4R8,C967023
USB-C_Connector,U10,918-418K2023S40001,C167321
TPS3839G33DBZR,U11,TPS3839G33DBZR,C485802
