Designator,Mid X,Mid Y,Layer,Rotation
C1,152.400000,-147.044500,T,-90
C2,151.892000,-138.026100,T,90
C3,154.965400,-138.064800,T,-90
C4,150.436000,-107.848400,T,180
C5,115.163600,-149.762200,T,-90
C6,109.818000,-84.709000,T,0
C7,150.473500,-110.896400,T,0
C8,150.473500,-113.792000,T,0
C9,117.805200,-149.766100,T,-90
C10,180.160000,-102.412800,T,0
C11,120.275950,-124.981200,T,180
C12,120.714600,-122.326400,T,180
C13,116.630150,-121.577600,T,180
C14,120.217250,-115.361200,T,180
C15,139.598400,-120.370600,T,90
C16,137.261600,-120.370600,T,-90
C17,147.904200,-120.396000,T,90
C18,145.694400,-120.396000,T,90
C19,126.949200,-86.668700,T,-90
CARD1,190.211300,-102.616000,T,90
D1,112.674400,-149.816900,T,90
D2,119.072250,-98.036167,T,180
D3,130.479800,-109.075400,T,-90
H1,167.640000,-98.425000,T,180
H2,167.640000,-106.042800,T,180
H3,168.910000,-90.805000,T,180
H4,168.910000,-113.673600,T,0
H5,191.744600,-90.805000,T,0
H6,191.770000,-113.665000,T,0
H7,179.070000,-113.665000,T,180
H8,179.019200,-90.805000,T,0
LED1,112.268000,-121.225600,T,-90
LED2,109.855000,-121.208800,T,-90
L_B-B1,142.660000,-114.935000,T,180
L_B-CH1,123.898750,-118.832600,T,90
Q1,129.430600,-137.475000,T,180
Q2,119.972000,-137.307400,T,0
Q3,110.075050,-87.886967,T,90
Q4,113.767650,-93.052567,T,180
Q5,126.975850,-109.179200,T,0
R1,115.941600,-132.883400,T,0
R2,118.846600,-81.661000,T,90
R3,120.446800,-149.731300,T,90
R4,123.088400,-149.750100,T,-90
R5,128.422400,-149.750100,T,90
R6,125.730000,-149.750100,T,-90
R7,131.064000,-149.750100,T,90
R8,123.456700,-137.393000,T,90
R9,125.945900,-137.409000,T,90
R10,124.648450,-126.078800,T,-90
R11,115.770750,-116.115400,T,-90
R12,115.460150,-125.946400,T,0
R13,115.460150,-129.045200,T,0
R14,117.355950,-113.516600,T,-90
R15,119.259750,-113.083600,T,180
R16,107.585850,-93.036567,T,-90
R17,118.541800,-92.075000,T,-90
R18,123.850400,-86.655400,T,90
R19,116.179600,-87.874600,T,-90
R20,150.147400,-120.396000,T,90
R21,180.797200,-100.279200,T,180
R22,180.746400,-104.749600,T,180
R23,181.610000,-106.984800,T,180
SW1,144.343000,-147.030000,T,-90
SW2,144.343000,-136.815000,T,90
U1,114.300000,-143.258200,T,90
U2,107.012250,-108.316567,T,-90
U3,121.920000,-143.667700,T,0
U5,142.660200,-121.285000,T,-90
U7,118.487150,-118.787600,T,0
U9,139.844000,-90.703400,T,0
U10,108.278000,-143.651700,T,-90
U11,123.977850,-112.700800,T,-90
