location,state,fixed_id,device_id,device_model,battery_level,ip_address,enable_audio_record,last_record_date
Hive1,noqueen,f1-dsfagafvbcv,RQ7UEHJgc8zmFPVOKwo5,ESP32_model_1,75.5,192.168.1.100,True,26-03-2025_19-30-35
Hive2,noqueen,f2-dsfagafvbcv,LwWwaNg3s6W5eqQgsQpK,ESP32_model_1,75.5,192.168.1.100,True,26-03-2025_19-30-45
Hive9,noqueen,f9-hfchxhjh,Ih2LpdJSCT2GnB4UsYlP,ESP32_model_1,75.5,,True,27-03-2025_18-00-49-300288
Hive9,noqueen,f9-hfchxhjh,Ih2LpdJSCT2GnB4UsYlP,ESP32_model_1,75.5,,True,27-03-2025_18-02-58-644359
Hive1,noqueen,f1-dsfagafvbcv,PgQzg7knfBKUuAA4T6xS,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-03-28
Hive9,noqueen,f9-hfchxhjh,Ih2LpdJSCT2GnB4UsYlP,ESP32_model_1,75.5,,True,27-03-2025_18-02-58-644359
Hive1,noqueen,f1-dsfagafvbcv,PgQzg7knfBKUuAA4T6xS,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-05-01
Hive2,noqueen,f2-dsfagafvbcv,ow8X1bhlDB7KhcV1RglP,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-04-26
Hive3,noqueen,f3-dsfagafvbcv,VCyOl00KcKIlOsCUOFbg,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-04-40
Hive4,noqueen,f4-dsfagafvbcv,AqJAdAswAKmtxQy79QSj,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-04-59
Hive9,noqueen,f9-hfchxhjh,Ih2LpdJSCT2GnB4UsYlP,ESP32_model_1,75.5,,True,27-03-2025_18-06-04-144188
Hive1,noqueen,f1-dsfagafvbcv,PgQzg7knfBKUuAA4T6xS,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-06-52
Hive3,noqueen,f3-dsfagafvbcv,VCyOl00KcKIlOsCUOFbg,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-06-41
Hive4,noqueen,f4-dsfagafvbcv,AqJAdAswAKmtxQy79QSj,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-06-44
Hive9,noqueen,f9-hfchxhjh,Ih2LpdJSCT2GnB4UsYlP,ESP32_model_1,75.5,,True,27-03-2025_18-08-32-144183
Hive1,noqueen,f1-dsfagafvbcv,PgQzg7knfBKUuAA4T6xS,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-08-41
Hive3,noqueen,f3-dsfagafvbcv,VCyOl00KcKIlOsCUOFbg,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-08-34
Hive1,noqueen,f1-dsfagafvbcv,PgQzg7knfBKUuAA4T6xS,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-12-31
Hive3,noqueen,f3-dsfagafvbcv,VCyOl00KcKIlOsCUOFbg,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-12-28
Hive4,noqueen,f4-dsfagafvbcv,C5h9lhG16RsoqnNANDWn,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-12-47
Hive1,noqueen,f1-dsfagafvbcv,PgQzg7knfBKUuAA4T6xS,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-14-01
Hive3,noqueen,f3-dsfagafvbcv,VCyOl00KcKIlOsCUOFbg,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-13-58
Hive4,noqueen,f4-dsfagafvbcv,C5h9lhG16RsoqnNANDWn,ESP32_model_1,75.5,192.168.1.100,True,27-03-2025_17-14-05
Hive9,noqueen,f9-hfchxhjh,InRvz37bjne8tUK6VpQa,ESP32_model_1,75.5,,True,27-03-2025_18-30-01-300171
Hive9,noqueen,f9-hfchxhjh,lTJvluqqVTdAo3vrr3Sa,ESP32_model_1,75.5,,True,27-03-2025_18-38-37-991283
Hive9,noqueen,f9-hfchxhjh,lTJvluqqVTdAo3vrr3Sa,ESP32_model_1,75.5,,True,27-03-2025_18-39-51-144181
Hive9,noqueen,f9-hfchxhjh,3BRLUaegBCaPwluQadnt,ESP32_model_1,75.5,,True,07-04-2025_11-54-49-357625
Hive9,noqueen,f9-hfchxhjh,3BRLUaegBCaPwluQadnt,ESP32_model_1,75.5,,True,07-04-2025_11-56-32-403634
Hive9,noqueen,f9-hfchxhjh,3BRLUaegBCaPwluQadnt,ESP32_model_1,75.5,,True,07-04-2025_11-58-42-145637
Hive1,noqueen,f1-dsfagafvbcv,VTXciHnLygVJyc5uxGx4,ESP32_model_1,75.5,192.168.1.100,True,07-04-2025_11-57-49
Hive2,noqueen,f2-dsfagafvbcv,0QxGDTekERg726vQTjIQ,ESP32_model_1,75.5,192.168.1.100,True,07-04-2025_11-57-56
Hive3,noqueen,f3-dsfagafvbcv,gNqpUgKzghBnMlfOj6zM,ESP32_model_1,75.5,192.168.1.100,True,07-04-2025_11-58-04
Hive4,noqueen,f4-dsfagafvbcv,OeIGZZsSbMvldOSDDRmh,ESP32_model_1,75.5,192.168.1.100,True,07-04-2025_11-58-12
